"Any_Alta","Tipus _Equipament","Tipologia_Sigles","Subtipologia_Sigles","Nom ","Adreca ","Latitud","Longitud","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Potencia_kWp  "," Energia_Produeix_ kWh ","Nombre_Llars_Subministrament","Emissions_ Estalviades_KgCO2eq","Tipus_Connexio"
2015,"Educació","Parets i mitgeres",,"Ludoteca Olzinelles. Mitgera","Carrer d'Olzinelles, 113","41.370285475410796","2.137954287402222","03","Sants-Montjuic ","16","la Bordeta","23.56",23560,10,8482,"Autoconsum"
2015,"Centre cívic","Coberta ",,"Centre Cívic Cristalerías Planell","Carrer del Dr. Ibáñez, 38","41.38745908505953","2.131848221386979","04","Les Corts","19","les Corts",3,3750,2,1350,"Autoconsum"
2015,"Espai públic","Pèrgoles i espai públic ",,"Pèrgoles Parc de les Rieres d'Horta","Parc Rieres d'Horta","41.433712353051","2.1532506794370505","07","Horta-Guinardó ","43","Horta",66,82500,36,29700,"Autoconsum"
2015,"Educació","Coberta ","ESC","Escola dels Encants","Carrer Consell de Cent, 558","41.40419732543695","2.183155726893039","02","Eixample ","06","la Sagrada Família","67.31","84137.5",37,30290,"Autoconsum"
2015,"Mercat","Coberta ","MM","Mercat del Ninot","Carrer de Mallorca, 133","41.38840231238232","2.154329084565778","02","Eixample ","08","l'Antiga Esquerra de l'Eixample",51,63750,28,22950,"Autoconsum"
2015,"Biblioteca","Coberta ","BIBL","Biblioteca Joan Miró II i III","Carrer de Vilamarí, 61","41.37871720110028","2.149041910776165","02","Eixample ","09","la Nova Esquerra de l'Eixample",75,93750,41,33750,"Autoconsum amb bateries"
2015,"Centre cívic","Coberta ","CL&CC","Multiequipament Calàbria","Carrer Calàbria,  66-78","41.378565187927926","2.1575595710752937","02","Eixample ","10","Sant Antoni",30,37500,16,13500,"Autoconsum"
2015,"Oficines","Coberta ","OFLD","Barcelona cicle de l'Aigua BCASA","Carrer de l'Acer, 16","41.35091195735285","2.1386271538716564","03","Sants-Montjuic ","12","la Marina del Prat Vermell","21.06",26325,11,9477,"Autoconsum"
2015,"Centre cívic","Coberta ","OFELPL","Lleialtat Santsenca","Carrer d'Olzinelles, 31","41.37309700244741","2.136733682708968","03","Sants-Montjuic ","18","Sants","20.25","25312.5",11,9113,"Autoconsum"
2015,"Educació","Coberta ","EECOM","Escola Univers","Carrer Bailén,  225-231","41.40294614371215","2.162628198056387","06","Gràcia ","31","la Vila de Gràcia",15,18750,8,6750,"Autoconsum"
2015,"Biblioteca","Coberta ","BIBL","Biblioteca Mercè Rodoreda","Carrer Camèlies, 76-80","41.41440884619527","2.165518740383508","07","Horta-Guinardó ","33","el Baix Guinardó",40,50000,22,18000,"Autoconsum"
2015,"Espai públic","Pèrgoles i espai públic ",,"Pèrgola Jardins Rodrigo Caro","Parc Jardins Rodrigo Caro ","41.448275734011226","2.171404760930146","08","Nou Barris","50","les Roquetes","7.69","9612.5",4,3461,"Autoconsum amb bateries"
